TEST,VARIANT,STATE,SIZE,TIME (In Ms)
641,Normal,Ascending,10,0.0016
642,Normal,Ascending,10,0.0012
643,Normal,Ascending,10,0.0009
644,Normal,Ascending,10,0.0013
645,Normal,Ascending,10,0.001
646,Normal,Ascending,10,0.001
647,Normal,Ascending,10,0.0026
648,Normal,Ascending,10,0.001
649,Normal,Ascending,10,0.0017
650,Normal,Ascending,10,0.0011
651,Normal,Ascending,10,0.001
652,Normal,Ascending,10,0.0022
653,Normal,Ascending,10,0.0016
654,Normal,Ascending,10,0.001
655,Normal,Ascending,10,0.001
656,Normal,Ascending,10,0.0006
657,Normal,Ascending,10,0.0008
658,Normal,Ascending,10,0.0012
659,Normal,Ascending,10,0.0006
660,Normal,Ascending,10,0.0007
661,Normal,Ascending,10,0.0009
662,Normal,Ascending,10,0.0006
663,Normal,Ascending,10,0.0009
664,Normal,Ascending,10,0.0007
665,Normal,Ascending,10,0.0009
666,Normal,Ascending,10,0.0009
667,Normal,Ascending,10,0.001
668,Normal,Ascending,10,0.0012
669,Normal,Ascending,10,0.0009
670,Normal,Ascending,10,0.0009
671,Normal,Ascending,10,0.0013
672,Normal,Ascending,10,0.0012
673,Normal,Ascending,10,0.0016
674,Normal,Ascending,10,0.0037
675,Normal,Ascending,10,0.002
676,Normal,Ascending,10,0.0014
677,Normal,Ascending,10,0.001
678,Normal,Ascending,10,0.0007
679,Normal,Ascending,10,0.0013
680,Normal,Ascending,10,0.0013
681,Normal,Ascending,10,0.0016
682,Normal,Ascending,10,0.0018
683,Normal,Ascending,10,0.0011
684,Normal,Ascending,10,0.0013
685,Normal,Ascending,10,0.0018
686,Normal,Ascending,10,0.0009
687,Normal,Ascending,10,0.0012
688,Normal,Ascending,10,0.0008
689,Normal,Ascending,10,0.0013
690,Normal,Ascending,10,0.0013
691,Normal,Ascending,10,0.0023
692,Normal,Ascending,10,0.0012
693,Normal,Ascending,10,0.0011
694,Normal,Ascending,10,0.0014
695,Normal,Ascending,10,0.0007
696,Normal,Ascending,10,0.0007
697,Normal,Ascending,10,0.0007
698,Normal,Ascending,10,0.0012
699,Normal,Ascending,10,0.0006
700,Normal,Ascending,10,0.0006
701,Normal,Ascending,10,0.0006
702,Normal,Ascending,10,0.0006
703,Normal,Ascending,10,0.0006
704,Normal,Ascending,10,0.0009
705,Normal,Ascending,10,0.0012
706,Normal,Ascending,10,0.0013
707,Normal,Ascending,10,0.0012
708,Normal,Ascending,10,0.0011
709,Normal,Ascending,10,0.0009
710,Normal,Ascending,10,0.001
711,Normal,Ascending,10,0.001
712,Normal,Ascending,10,0.001
713,Normal,Ascending,10,0.001
714,Normal,Ascending,10,0.0009
715,Normal,Ascending,10,0.001
716,Normal,Ascending,10,0.001
717,Normal,Ascending,10,0.0014
718,Normal,Ascending,10,0.0014
719,Normal,Ascending,10,0.0012
720,Normal,Ascending,10,0.0012
